          Value      Data   WLP
1   0.977663045 predicted 0.364
2   0.002227377 predicted 0.000
3   0.999999359 predicted 0.750
4   0.999832370 predicted 0.545
5   0.002227377 predicted 0.000
6   0.999917246 predicted 0.571
7   0.664519890 predicted 0.250
8   0.999999999 predicted 1.000
9   0.032627773 predicted 0.100
10  0.999999999 predicted 1.000
11  0.999431366 predicted 0.500
12  0.002227377 predicted 0.000
13  0.999985832 predicted 0.636
14  0.999999999 predicted 1.000
15  0.999999985 predicted 0.889
16  0.999999999 predicted 1.000
17  0.999998803 predicted 0.727
18  0.002227377 predicted 0.000
19  0.002227377 predicted 0.000
20  0.002227377 predicted 0.000
21  0.025735918 predicted 0.091
22  0.002227377 predicted 0.000
23  0.999999999 predicted 1.000
24  0.002227377 predicted 0.000
25  0.020815600 predicted 0.083
26  0.002227377 predicted 0.000
27  0.002227377 predicted 0.000
28  0.002227377 predicted 0.000
29  0.999999700 predicted 0.778
30  0.002227377 predicted 0.000
31  0.002227377 predicted 0.000
32  0.002227377 predicted 0.000
33  0.002227377 predicted 0.000
34  0.002227377 predicted 0.000
35  0.002227377 predicted 0.000
36  0.002227377 predicted 0.000
37  0.002227377 predicted 0.000
38  0.002227377 predicted 0.000
39  0.002227377 predicted 0.000
40  0.002227377 predicted 0.000
41  0.002227377 predicted 0.000
42  0.999998803 predicted 0.727
43  0.020815600 predicted 0.083
44  0.002227377 predicted 0.000
45  0.002227377 predicted 0.000
46  0.002227377 predicted 0.000
47  0.002227377 predicted 0.000
48  0.002227377 predicted 0.000
49  0.002227377 predicted 0.000
50  0.999999991 predicted 0.909
51  0.097805561 predicted 0.143
52  0.002227377 predicted 0.000
53  0.999999999 predicted 1.000
54  0.002227377 predicted 0.000
55  0.002227377 predicted 0.000
56  0.002227377 predicted 0.000
57  0.337570803 predicted 0.200
58  0.002227377 predicted 0.000
59  0.002227377 predicted 0.000
60  0.002227377 predicted 0.000
61  0.002227377 predicted 0.000
62  0.002227377 predicted 0.000
63  0.002227377 predicted 0.000
64  0.002227377 predicted 0.000
65  0.002227377 predicted 0.000
66  0.002227377 predicted 0.000
67  0.002227377 predicted 0.000
68  0.002227377 predicted 0.000
69  0.002227377 predicted 0.000
70  0.002227377 predicted 0.000
71  0.002227377 predicted 0.000
72  0.002227377 predicted 0.000
73  0.002227377 predicted 0.000
74  0.002227377 predicted 0.000
75  0.002227377 predicted 0.000
76  0.002227377 predicted 0.000
77  0.002227377 predicted 0.000
78  0.002227377 predicted 0.000
79  0.002227377 predicted 0.000
80  0.002227377 predicted 0.000
81  0.002227377 predicted 0.000
82  0.002227377 predicted 0.000
83  0.002227377 predicted 0.000
84  0.002227377 predicted 0.000
85  0.002227377 predicted 0.000
86  0.002227377 predicted 0.000
87  0.002227377 predicted 0.000
88  0.002227377 predicted 0.000
89  0.002227377 predicted 0.000
90  0.002227377 predicted 0.000
91  0.002227377 predicted 0.000
92  0.002227377 predicted 0.000
93  0.002227377 predicted 0.000
94  0.002227377 predicted 0.000
95  0.002227377 predicted 0.000
96  0.002227377 predicted 0.000
97  0.002227377 predicted 0.000
98  0.002227377 predicted 0.000
99  0.002227377 predicted 0.000
100 0.999999999 predicted 1.000
101 0.002227377 predicted 0.000
102 0.002227377 predicted 0.000
103 0.002227377 predicted 0.000
104 0.002227377 predicted 0.000
105 0.002227377 predicted 0.000
106 0.002227377 predicted 0.000
107 0.002227377 predicted 0.000
108 0.002227377 predicted 0.000
109 0.002227377 predicted 0.000
110 0.002227377 predicted 0.000
111 0.002227377 predicted 0.000
112 0.002227377 predicted 0.000
113 0.002227377 predicted 0.000
114 0.002227377 predicted 0.000
115 0.002227377 predicted 0.000
116 0.002227377 predicted 0.000
117 0.002227377 predicted 0.000
118 0.002227377 predicted 0.000
119 0.949654330 predicted 0.333
120 0.002227377 predicted 0.000
121 0.002227377 predicted 0.000
122 0.002227377 predicted 0.000
123 0.002227377 predicted 0.000
124 0.002227377 predicted 0.000
125 0.002227377 predicted 0.000
126 0.002227377 predicted 0.000
127 0.002227377 predicted 0.000
128 0.002227377 predicted 0.000
129 0.002227377 predicted 0.000
130 0.002227377 predicted 0.000
131 0.002227377 predicted 0.000
132 0.002227377 predicted 0.000
133 0.002227377 predicted 0.000
134 0.002227377 predicted 0.000
135 0.002227377 predicted 0.000
136 0.002227377 predicted 0.000
137 0.002227377 predicted 0.000
138 0.002227377 predicted 0.000
139 0.002227377 predicted 0.000
140 0.002227377 predicted 0.000
141 0.002227377 predicted 0.000
142 0.002227377 predicted 0.000
143 0.002227377 predicted 0.000
144 0.002227377 predicted 0.000
145 0.002227377 predicted 0.000
146 0.002227377 predicted 0.000
147 0.002227377 predicted 0.000
148 0.002227377 predicted 0.000
149 0.002227377 predicted 0.000
150 0.002227377 predicted 0.000
151 0.999999835 predicted 0.800
152 0.999999933 predicted 0.833
153 0.025735918 predicted 0.091
154 0.002227377 predicted 0.000
155 0.002227377 predicted 0.000
156 0.025735918 predicted 0.091
157 0.999431366 predicted 0.500
158 0.238142735 predicted 0.182
159 0.999999991 predicted 0.909
160 0.002227377 predicted 0.000
161 0.032627773 predicted 0.100
162 0.002227377 predicted 0.000
163 0.002227377 predicted 0.000
164 0.002227377 predicted 0.000
165 0.002227377 predicted 0.000
166 0.002227377 predicted 0.000
167 0.002227377 predicted 0.000
168 0.002227377 predicted 0.000
169 0.002227377 predicted 0.000
170 0.002227377 predicted 0.000
171 0.002227377 predicted 0.000
172 0.002227377 predicted 0.000
173 0.002227377 predicted 0.000
174 0.002227377 predicted 0.000
175 0.002227377 predicted 0.000
176 0.002227377 predicted 0.000
177 0.002227377 predicted 0.000
178 0.002227377 predicted 0.000
179 0.002227377 predicted 0.000
180 0.002227377 predicted 0.000
181 0.002227377 predicted 0.000
182 0.002227377 predicted 0.000
183 0.002227377 predicted 0.000
184 0.002227377 predicted 0.000
185 0.002227377 predicted 0.000
186 0.002227377 predicted 0.000
187 0.002227377 predicted 0.000
188 0.002227377 predicted 0.000
189 0.002227377 predicted 0.000
190 0.002227377 predicted 0.000
191 0.002227377 predicted 0.000
192 0.002227377 predicted 0.000
193 0.002227377 predicted 0.000
194 0.002227377 predicted 0.000
195 0.002227377 predicted 0.000
196 0.002227377 predicted 0.000
197 0.002227377 predicted 0.000
198 0.002227377 predicted 0.000
199 0.002227377 predicted 0.000
200 0.002227377 predicted 0.000
201 0.002227377 predicted 0.000
202 0.002227377 predicted 0.000
203 0.002227377 predicted 0.000
204 0.002227377 predicted 0.000
205 0.002227377 predicted 0.000
206 0.002227377 predicted 0.000
207 0.002227377 predicted 0.000
208 0.002227377 predicted 0.000
209 0.002227377 predicted 0.000
210 0.002227377 predicted 0.000
211 0.002227377 predicted 0.000
212 0.002227377 predicted 0.000
213 0.002227377 predicted 0.000
214 0.002227377 predicted 0.000
215 0.002227377 predicted 0.000
216 0.002227377 predicted 0.000
217 0.002227377 predicted 0.000
218 1.000000000  observed 0.364
219 0.000000000  observed 0.000
220 1.000000000  observed 0.750
221 1.000000000  observed 0.545
222 0.000000000  observed 0.000
223 1.000000000  observed 0.571
224 1.000000000  observed 0.250
225 1.000000000  observed 1.000
226 1.000000000  observed 0.100
227 1.000000000  observed 1.000
228 1.000000000  observed 0.500
229 0.000000000  observed 0.000
230 1.000000000  observed 0.636
231 1.000000000  observed 1.000
232 1.000000000  observed 0.889
233 1.000000000  observed 1.000
234 1.000000000  observed 0.727
235 0.000000000  observed 0.000
