"lit_prev","crates","cluster","LP","pig_prev"
"1",0.00558,10,0.01,"ALP",0.01
"2",0.04488,10,0.01,"ALP",0.05
"3",0.13868,10,0.01,"ALP",0.1
"4",0.26932,10,0.01,"ALP",0.15
"5",0.40776,10,0.01,"ALP",0.2
"6",0.5353,10,0.01,"ALP",0.25
"7",0.6508,10,0.01,"ALP",0.3
"8",0.7428,10,0.01,"ALP",0.35
"9",0.81134,10,0.01,"ALP",0.4
"10",0.86422,10,0.01,"ALP",0.45
"11",0.90502,10,0.01,"ALP",0.5
"12",0.93332,10,0.01,"ALP",0.55
"13",0.95538,10,0.01,"ALP",0.6
"14",0.96864,10,0.01,"ALP",0.65
"15",0.98054,10,0.01,"ALP",0.7
"16",0.98752,10,0.01,"ALP",0.75
"17",0.99298,10,0.01,"ALP",0.8
"18",0.9957,10,0.01,"ALP",0.85
"19",0.99728,10,0.01,"ALP",0.9
"20",0.99834,10,0.01,"ALP",0.95
"21",0.99904,10,0.01,"ALP",1
"22",0.0063,10,0.2,"ALP",0.01
"23",0.06558,10,0.2,"ALP",0.05
"24",0.17974,10,0.2,"ALP",0.1
"25",0.28512,10,0.2,"ALP",0.15
"26",0.37278,10,0.2,"ALP",0.2
"27",0.43826,10,0.2,"ALP",0.25
"28",0.49932,10,0.2,"ALP",0.3
"29",0.552,10,0.2,"ALP",0.35
"30",0.60248,10,0.2,"ALP",0.4
"31",0.6496,10,0.2,"ALP",0.45
"32",0.6976,10,0.2,"ALP",0.5
"33",0.74166,10,0.2,"ALP",0.55
"34",0.78538,10,0.2,"ALP",0.6
"35",0.83072,10,0.2,"ALP",0.65
"36",0.87044,10,0.2,"ALP",0.7
"37",0.90836,10,0.2,"ALP",0.75
"38",0.94024,10,0.2,"ALP",0.8
"39",0.97018,10,0.2,"ALP",0.85
"40",0.98934,10,0.2,"ALP",0.9
"41",0.99932,10,0.2,"ALP",0.95
"42",0.99998,10,0.2,"ALP",1
"43",0.00692,10,0.63,"ALP",0.01
"44",0.10458,10,0.63,"ALP",0.05
"45",0.16446,10,0.63,"ALP",0.1
"46",0.21688,10,0.63,"ALP",0.15
"47",0.26466,10,0.63,"ALP",0.2
"48",0.31342,10,0.63,"ALP",0.25
"49",0.36278,10,0.63,"ALP",0.3
"50",0.41414,10,0.63,"ALP",0.35
"51",0.46202,10,0.63,"ALP",0.4
"52",0.5122,10,0.63,"ALP",0.45
"53",0.55898,10,0.63,"ALP",0.5
"54",0.60782,10,0.63,"ALP",0.55
"55",0.65682,10,0.63,"ALP",0.6
"56",0.7067,10,0.63,"ALP",0.65
"57",0.7542,10,0.63,"ALP",0.7
"58",0.80538,10,0.63,"ALP",0.75
"59",0.84758,10,0.63,"ALP",0.8
"60",0.90228,10,0.63,"ALP",0.85
"61",0.93894,10,0.63,"ALP",0.9
"62",0.99706,10,0.63,"ALP",0.95
"63",1,10,0.63,"ALP",1
"64",0.00726,10,0.8,"ALP",0.01
"65",0.10528,10,0.8,"ALP",0.05
"66",0.13946,10,0.8,"ALP",0.1
"67",0.20002,10,0.8,"ALP",0.15
"68",0.24044,10,0.8,"ALP",0.2
"69",0.29606,10,0.8,"ALP",0.25
"70",0.3404,10,0.8,"ALP",0.3
"71",0.39566,10,0.8,"ALP",0.35
"72",0.4406,10,0.8,"ALP",0.4
"73",0.49302,10,0.8,"ALP",0.45
"74",0.5388,10,0.8,"ALP",0.5
"75",0.59286,10,0.8,"ALP",0.55
"76",0.63618,10,0.8,"ALP",0.6
"77",0.6905,10,0.8,"ALP",0.65
"78",0.73436,10,0.8,"ALP",0.7
"79",0.79122,10,0.8,"ALP",0.75
"80",0.8299,10,0.8,"ALP",0.8
"81",0.8912,10,0.8,"ALP",0.85
"82",0.9195,10,0.8,"ALP",0.9
"83",0.99556,10,0.8,"ALP",0.95
"84",1,10,0.8,"ALP",1
"85",0.00648,10,1,"ALP",0.01
"86",0.1019,10,1,"ALP",0.05
"87",0.11654,10,1,"ALP",0.1
"88",0.19394,10,1,"ALP",0.15
"89",0.22136,10,1,"ALP",0.2
"90",0.28862,10,1,"ALP",0.25
"91",0.32536,10,1,"ALP",0.3
"92",0.385,10,1,"ALP",0.35
"93",0.42674,10,1,"ALP",0.4
"94",0.48224,10,1,"ALP",0.45
"95",0.52582,10,1,"ALP",0.5
"96",0.582,10,1,"ALP",0.55
"97",0.62446,10,1,"ALP",0.6
"98",0.68146,10,1,"ALP",0.65
"99",0.72258,10,1,"ALP",0.7
"100",0.78416,10,1,"ALP",0.75
"101",0.81818,10,1,"ALP",0.8
"102",0.88654,10,1,"ALP",0.85
"103",0.90896,10,1,"ALP",0.9
"104",0.99424,10,1,"ALP",0.95
"105",1,10,1,"ALP",1
"106",0.00597333333333333,30,0.01,"ALP",0.01
"107",0.0479666666666667,30,0.01,"ALP",0.05
"108",0.144993333333333,30,0.01,"ALP",0.1
"109",0.27288,30,0.01,"ALP",0.15
"110",0.40564,30,0.01,"ALP",0.2
"111",0.52788,30,0.01,"ALP",0.25
"112",0.636573333333333,30,0.01,"ALP",0.3
"113",0.722326666666667,30,0.01,"ALP",0.35
"114",0.79354,30,0.01,"ALP",0.4
"115",0.847666666666667,30,0.01,"ALP",0.45
"116",0.888693333333333,30,0.01,"ALP",0.5
"117",0.92132,30,0.01,"ALP",0.55
"118",0.944326666666667,30,0.01,"ALP",0.6
"119",0.961506666666667,30,0.01,"ALP",0.65
"120",0.97506,30,0.01,"ALP",0.7
"121",0.98442,30,0.01,"ALP",0.75
"122",0.990973333333333,30,0.01,"ALP",0.8
"123",0.99502,30,0.01,"ALP",0.85
"124",0.997853333333333,30,0.01,"ALP",0.9
"125",0.999013333333333,30,0.01,"ALP",0.95
"126",0.999626666666667,30,0.01,"ALP",1
"127",0.00944,30,0.2,"ALP",0.01
"128",0.09228,30,0.2,"ALP",0.05
"129",0.176746666666667,30,0.2,"ALP",0.1
"130",0.236826666666667,30,0.2,"ALP",0.15
"131",0.286146666666667,30,0.2,"ALP",0.2
"132",0.335693333333333,30,0.2,"ALP",0.25
"133",0.384633333333333,30,0.2,"ALP",0.3
"134",0.434906666666667,30,0.2,"ALP",0.35
"135",0.482513333333333,30,0.2,"ALP",0.4
"136",0.532813333333333,30,0.2,"ALP",0.45
"137",0.580686666666667,30,0.2,"ALP",0.5
"138",0.628773333333333,30,0.2,"ALP",0.55
"139",0.6773,30,0.2,"ALP",0.6
"140",0.7254,30,0.2,"ALP",0.65
"141",0.773166666666667,30,0.2,"ALP",0.7
"142",0.821446666666667,30,0.2,"ALP",0.75
"143",0.867906666666667,30,0.2,"ALP",0.8
"144",0.913706666666667,30,0.2,"ALP",0.85
"145",0.956393333333333,30,0.2,"ALP",0.9
"146",0.989186666666667,30,0.2,"ALP",0.95
"147",0.999993333333333,30,0.2,"ALP",1
"148",0.01658,30,0.63,"ALP",0.01
"149",0.0749466666666667,30,0.63,"ALP",0.05
"150",0.124773333333333,30,0.63,"ALP",0.1
"151",0.174313333333333,30,0.63,"ALP",0.15
"152",0.223753333333333,30,0.63,"ALP",0.2
"153",0.274153333333333,30,0.63,"ALP",0.25
"154",0.323486666666667,30,0.63,"ALP",0.3
"155",0.372986666666667,30,0.63,"ALP",0.35
"156",0.42292,30,0.63,"ALP",0.4
"157",0.473093333333333,30,0.63,"ALP",0.45
"158",0.522826666666667,30,0.63,"ALP",0.5
"159",0.571753333333333,30,0.63,"ALP",0.55
"160",0.622553333333333,30,0.63,"ALP",0.6
"161",0.671706666666667,30,0.63,"ALP",0.65
"162",0.72138,30,0.63,"ALP",0.7
"163",0.770433333333333,30,0.63,"ALP",0.75
"164",0.82006,30,0.63,"ALP",0.8
"165",0.869226666666667,30,0.63,"ALP",0.85
"166",0.917433333333333,30,0.63,"ALP",0.9
"167",0.966753333333333,30,0.63,"ALP",0.95
"168",1,30,0.63,"ALP",1
"169",0.02126,30,0.8,"ALP",0.01
"170",0.0689866666666667,30,0.8,"ALP",0.05
"171",0.116786666666667,30,0.8,"ALP",0.1
"172",0.167113333333333,30,0.8,"ALP",0.15
"173",0.215986666666667,30,0.8,"ALP",0.2
"174",0.266,30,0.8,"ALP",0.25
"175",0.316493333333333,30,0.8,"ALP",0.3
"176",0.36674,30,0.8,"ALP",0.35
"177",0.415966666666667,30,0.8,"ALP",0.4
"178",0.46522,30,0.8,"ALP",0.45
"179",0.515,30,0.8,"ALP",0.5
"180",0.56526,30,0.8,"ALP",0.55
"181",0.614246666666667,30,0.8,"ALP",0.6
"182",0.6647,30,0.8,"ALP",0.65
"183",0.7146,30,0.8,"ALP",0.7
"184",0.763786666666667,30,0.8,"ALP",0.75
"185",0.813113333333333,30,0.8,"ALP",0.8
"186",0.862713333333333,30,0.8,"ALP",0.85
"187",0.9115,30,0.8,"ALP",0.9
"188",0.96296,30,0.8,"ALP",0.95
"189",1,30,0.8,"ALP",1
"190",0.0278066666666667,30,1,"ALP",0.01
"191",0.0661333333333333,30,1,"ALP",0.05
"192",0.11004,30,1,"ALP",0.1
